id,state.abbrev,station,city,county,zipcode,latitude,longitude
7314,OK,DAVIS POLICE DEPT,Davis,Yolo County,95618,38.551217,-121.719275
7315,OK,DEL CITY POLICE DEPT,Oklahoma City,Oklahoma County,73115,35.435984,-97.435433
7316,OK,DELAWARE CTY SHERIFF'S OFFICE,Delaware,Delaware County,43015,40.303560,-83.067849
7317,OK,DELAWARE CTY SHERIFFS OFFICE,Delaware,Delaware County,43015,40.303560,-83.067849
7318,OK,DEPEW POLICE DEPT,Depew,Erie County,14043,42.905057,-78.685777
7319,OK,DEWEY CTY SHERIFF DEPT,Taloga,Dewey County,73667,36.038750,-98.963887
7320,OK,DHS/CBP AIR/MARINE OKLAHOMA CITY,Oklahoma City,Oklahoma County,73119,35.414938,-97.597614
7321,OK,DHS/CBP/PATROL OKLAHOMA CITY,Oklahoma City,Oklahoma County,73108,35.456721,-97.598250
7322,OK,DHS/ICE OKLAHOMA CITY,Oklahoma City,Oklahoma County,73119,35.424062,-97.597592
7323,OK,DOI/BIA/OJS DISTR OKLAHOMA,Oklahoma City,Oklahoma County,73102,35.471290,-97.516898
7324,OK,DOJ/DEA TULSA,Tulsa,Tulsa County,74133,36.072346,-95.891089
7325,OK,DOJ/FBI OKLAHOMA CITY,Oklahoma City,Oklahoma County,73116,35.538803,-97.516790
7326,OK,DOJ/FBI OKLAHOMA CITY DIV,Oklahoma City,Oklahoma County,73116,35.538803,-97.516790
7327,OK,DRUMRIGHT POLICE DEPT,Drumright,Creek County,74030,35.988276,-96.603076
7328,OK,DUNCAN POLICE DEPT,Duncan,Stephens County,73533,34.501478,-97.955424
7329,OK,EAST CENTRAL UNIV POLICE HI_ED,Ada,Pontotoc County,74820,34.772848,-96.659803
7330,OK,EAST CENTRAL UNIVERSITY POLICE,Ada,Pontotoc County,74820,34.775709,-96.665243
7331,OK,EASTERN OK STATE COLLEGE PD,Wilburton,Latimer County,74578,34.913500,-95.327709
7332,OK,EASTERN OK STATE COLLEGE PD HI_ED,Wilburton,Latimer County,74578,34.913500,-95.327709
7333,OK,ELGIN POLICE DEPT,Elgin,Kane County,60120,42.040005,-88.283394
7334,OK,ELLIS CTY SHERIFF DEPT,Waxahachie,Ellis County,75165,32.383754,-96.847920
7335,OK,ELMORE POLICE DEPT,Elmore,Ottawa County,43416,41.475055,-83.295139
7336,OK,ENID POLICE DEPT.,Enid,Garfield County,73701,36.390476,-97.882318
7337,OK,FAIRVIEW POLICE DEPT,Fairview Heights,St. Clair County,62208,38.597007,-90.011731
7338,OK,FLETCHER POLICE DEPT,Fletcher,Henderson County,28732,35.430144,-82.498907
7339,OK,FORGAN POLICE DEPT,Forgan,Beaver County,73938,36.906970,-100.539318
7340,OK,FORT GIBSON POLICE DEPT,Fort Gibson,Muskogee County,74434,35.797282,-95.252068
7341,OK,FREDERICK POLICE DEPT,Frederick,Frederick County,21701,39.413781,-77.412985
7342,OK,GARFIELD CTY SHERIFF DEPT,Glenwood Springs,Garfield County,81601,39.547322,-107.326586
7343,OK,GORE POLICE DEPT,Gore,Sequoyah County,74435,35.529356,-95.117356
7344,OK,GRADY CO SHERIFF'S OFFICE,Chickasha,Grady County,73018,35.053874,-97.935264
7345,OK,GRADY CO SHERIFFS OFFICE,Chickasha,Grady County,73018,35.053874,-97.935264
