id,state.abbrev,station,city,county,zipcode,latitude,longitude
5247,MS,HARRISON COUNTY SHERIFF DEPT,,,,,
5248,MS,HEIDELBERG POLICE DEPT,,,,,
5249,MS,HERNANDO POLICE DEPT,,,,,
5250,MS,HINDS COMM COLLEGE POLICE HI_ED,,,,,
5251,MS,HINDS COMMUNITY COLLEGE POLICE,,,,,
5252,MS,HINDS COUNTY SHERIFF DEPT,,,,,
5253,MS,HINDS COUNTY SHERIFFS OFFICE,,,,,
5254,MS,HOLLY SPRINGS POLICE DEPT,,,,,
5255,MS,HOLMES COMM COLLEGE POLICE HI_ED,,,,,
5256,MS,HOLMES COMMUNITY COLLEGE POLICE,,,,,
5257,MS,JACKSON COUNTY SHERIFF DEPT,,,,,
5258,MS,JACKSON POLICE DEPT,,,,,
5259,MS,JASPER COUNTY SHERIFF DEPT,,,,,
5260,MS,JONES COUNTY SHERIFF DEPT,,,,,
5261,MS,KEMPER COUNTY SHERIFF DEPT,,,,,
5262,MS,KEMPER COUNTY SHERIFFS DEPT,,,,,
5263,MS,KOSCIUSKO POLICE DEPT,,,,,
5264,MS,LAFAYETTE COUNTY METRO NARCOTICS,,,,,
5265,MS,LAFAYETTE COUNTY SHERIFF DEPT,,,,,
5266,MS,LAFAYETTE COUNTY SHERIFFS DEPT,,,,,
5267,MS,LAUDERDALE COUNTY SHERIFF DEPT,,,,,
5268,MS,LAUDERDALE COUNTY SHERIFFS DEPT,,,,,
5269,MS,LEAKE COUNTY SHERIFF DEPT,,,,,
5270,MS,LEAKE COUNTY SHERIFF OFFICE,,,,,
5271,MS,LEE COUNTY SHERIFF DEPT,,,,,
5272,MS,LEFLORE COUNTY SHERIFF DEPT,,,,,
5273,MS,LONG BEACH POLICE DEPT,,,,,
5274,MS,LOUISVILLE POLICE DEPT,,,,,
5275,MS,LOWNDES COUNTY SHERIFF DEPT,,,,,
5276,MS,MACON POLICE DEPT,,,,,
5277,MS,MADISON COUNTY SHERIFF DEPT,,,,,
5278,MS,MADISON COUNTY SHERIFFS OFFICE,,,,,
5279,MS,MARION POLICE DEPT,,,,,
